Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"3_WAY_DON_KHAMBBUS1", 0.415, 1,    238.741,  -30.1,   0.99641, 2,    238.741, -150.1,   0.99641, 3,    238.741,   89.9,   0.99641
"KAVLE_MATHBUS1", 0.415, 1,    236.578,  -30.4,   0.98738, 2,    236.578, -150.4,   0.98738, 3,    236.578,   89.6,   0.98738
"SHANTADURGA_OLDBUS1", 0.415, 1,     236.97,  -30.3,   0.98902, 2,     236.97, -150.3,   0.98902, 3,     236.97,   89.7,   0.98902
"3_WAY_SHANTADURGABUS1", 0.415, 1,    238.761,  -30.1,    0.9965, 2,    238.761, -150.1,    0.9965, 3,    238.761,   89.9,    0.9965
"SANATAN_1BUS1", 0.415, 1,    237.153,  -30.3,   0.98978, 2,    237.153, -150.3,   0.98978, 3,    237.153,   89.7,   0.98978
"SANATAN_2BUS1", 0.415, 1,    237.601,  -30.2,   0.99165, 2,    237.601, -150.2,   0.99165, 3,    237.601,   89.8,   0.99165
"RAMNATHI_DEVASTHANBUS1", 0.415, 1,    236.551,  -30.4,   0.98727, 2,    236.551, -150.4,   0.98727, 3,    236.551,   89.6,   0.98727
"RAMNATHIBUS1", 0.415, 1,     236.97,  -30.3,   0.98902, 2,     236.97, -150.3,   0.98902, 3,     236.97,   89.7,   0.98902
"3_WAY_RAMNATHIBUS1", 0.415, 1,    238.866,  -30.0,   0.99694, 2,    238.866, -150.0,   0.99694, 3,    238.866,   90.0,   0.99694
"RPRS_SCHOOLBUS1", 0.415, 1,    238.157,  -30.2,   0.99398, 2,    238.157, -150.2,   0.99398, 3,    238.157,   89.8,   0.99398
"TOLULEMBUS1", 0.415, 1,    236.496,  -30.4,   0.98704, 2,    236.496, -150.4,   0.98704, 3,    236.496,   89.6,   0.98704
"KHARWADABUS1", 0.415, 1,    237.023,  -30.3,   0.98924, 2,    237.023, -150.3,   0.98924, 3,    237.023,   89.7,   0.98924
"SHANTADURGA_NEWBUS1", 0.415, 1,    237.044,  -30.3,   0.98933, 2,    237.044, -150.3,   0.98933, 3,    237.044,   89.7,   0.98933
"GALSHIREBUS1", 0.415, 1,    236.472,  -30.4,   0.98694, 2,    236.472, -150.4,   0.98694, 3,    236.472,   89.6,   0.98694
"3_WAY_GALSHIREBUS1", 0.415, 1,    238.732,  -30.1,   0.99638, 2,    238.732, -150.1,   0.99638, 3,    238.732,   89.9,   0.99638
"3_WAY_HARISH_BARBUS1", 0.415, 1,    238.726,  -30.1,   0.99635, 2,    238.726, -150.1,   0.99635, 3,    238.726,   89.9,   0.99635
"RAJENDRA_TALAKBUS1", 0.415, 1,    238.263,  -30.1,   0.99442, 2,    238.263, -150.1,   0.99442, 3,    238.263,   89.9,   0.99442
"RITESH_DEVELOPERSBUS1", 0.415, 1,        238,  -30.2,   0.99332, 2,        238, -150.2,   0.99332, 3,        238,   89.8,   0.99332
"VENKATESH_LEELABUS1", 0.415, 1,    236.776,  -30.3,   0.98821, 2,    236.776, -150.3,   0.98821, 3,    236.776,   89.7,   0.98821
"PERIGOLBUS1", 0.415, 1,    237.055,  -30.3,   0.98938, 2,    237.055, -150.3,   0.98938, 3,    237.055,   89.7,   0.98938
"MANMOHAN_SINGHBUS1", 0.415, 1,    236.301,  -30.4,   0.98623, 2,    236.301, -150.4,   0.98623, 3,    236.301,   89.6,   0.98623
"DHUMREBUS1", 0.415, 1,    236.621,  -30.4,   0.98756, 2,    236.621, -150.4,   0.98756, 3,    236.621,   89.6,   0.98756
"3_WAY_ROYAL_ENFIELDBUS1", 0.415, 1,    238.716,  -30.1,   0.99631, 2,    238.716, -150.1,   0.99631, 3,    238.716,   89.9,   0.99631
