Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"DOCTOR_BAKALE", 11, 1,    6308.08,   -0.1,   0.99326, 2,    6308.08, -120.1,   0.99326, 3,    6308.08,  119.9,   0.99326
"4_WAY_VEREKAR", 11, 1,    6316.08,   -0.1,   0.99452, 2,    6316.08, -120.1,   0.99452, 3,    6316.08,  119.9,   0.99452
"FORENSICBUS1", 0.415, 1,    229.492,   -1.5,   0.95781, 2,    229.492, -121.5,   0.95781, 3,    229.492,  118.5,   0.95781
"DADA_VAIDYABUS2", 0.415, 1,    228.024,   -1.7,   0.95168, 2,    228.024, -121.7,   0.95168, 3,    228.024,  118.3,   0.95168
"AGARWAL_GARDENSBUS3", 0.415, 1,     237.93,   -0.1,   0.99303, 2,     237.93, -120.1,   0.99303, 3,     237.93,  119.9,   0.99303
"FIBERGLASSBUS4", 0.415, 1,    229.803,   -1.3,   0.95911, 2,    229.803, -121.3,   0.95911, 3,    229.803,  118.7,   0.95911
"AGARWAL_HTCBUS5", 0.415, 1,    228.502,   -1.5,   0.95368, 2,    228.502, -121.5,   0.95368, 3,    228.502,  118.5,   0.95368
"YUMMY_ICECREAMBUS6", 0.415, 1,    228.525,   -1.5,   0.95378, 2,    228.525, -121.5,   0.95378, 3,    228.525,  118.5,   0.95378
"SHIVLALBUS7", 0.415, 1,    234.324,   -0.6,   0.97798, 2,    234.324, -120.6,   0.97798, 3,    234.324,  119.4,   0.97798
"KELBAIBUS8", 0.415, 1,    231.042,   -1.1,   0.96428, 2,    231.042, -121.1,   0.96428, 3,    231.042,  118.9,   0.96428
"SURYA_MASALABUS9", 0.415, 1,    220.111,   -2.8,   0.91866, 2,    220.111, -122.8,   0.91866, 3,    220.111,  117.2,   0.91866
"DOCTOR_BAKALEBUS10", 0.415, 1,    227.047,   -1.8,   0.94761, 2,    227.047, -121.8,   0.94761, 3,    227.047,  118.2,   0.94761
"ECAP_HTCBUS11", 0.415, 1,    228.445,   -1.5,   0.95344, 2,    228.445, -121.5,   0.95344, 3,    228.445,  118.5,   0.95344
"PRAKASHBUS12", 0.415, 1,    228.439,   -1.5,   0.95342, 2,    228.439, -121.5,   0.95342, 3,    228.439,  118.5,   0.95342
"KAYJI_SKYLINEBUS13", 0.415, 1,    225.084,   -2.0,   0.93941, 2,    225.084, -122.0,   0.93941, 3,    225.084,  118.0,   0.93941
"RUDRA_DEVELOPERBUS14", 0.415, 1,     228.41,   -1.5,   0.95329, 2,     228.41, -121.5,   0.95329, 3,     228.41,  118.5,   0.95329
"ASSOCIATEBUS15", 0.415, 1,    229.597,   -1.3,   0.95825, 2,    229.597, -121.3,   0.95825, 3,    229.597,  118.7,   0.95825
"KV_SCHOOLBUS16", 0.415, 1,    228.398,   -1.5,   0.95325, 2,    228.398, -121.5,   0.95325, 3,    228.398,  118.5,   0.95325
"KORDEBUS17", 0.415, 1,    231.888,   -1.0,   0.96781, 2,    231.888, -121.0,   0.96781, 3,    231.888,  119.0,   0.96781
"KAPAT_FACTORYBUS18", 0.415, 1,    228.351,   -1.5,   0.95305, 2,    228.351, -121.5,   0.95305, 3,    228.351,  118.5,   0.95305
"VEREKARBUS19", 0.415, 1,    230.406,   -1.3,   0.96163, 2,    230.406, -121.3,   0.96163, 3,    230.406,  118.7,   0.96163
"MICROWAVEBUS20", 0.415, 1,    230.616,   -1.3,    0.9625, 2,    230.616, -121.3,    0.9625, 3,    230.616,  118.7,    0.9625
"DAIRY_OLDBUS21", 0.415, 1,    229.683,   -1.5,   0.95861, 2,    229.683, -121.5,   0.95861, 3,    229.683,  118.5,   0.95861
"DAIRY_HTCBUS22", 0.415, 1,    229.727,   -1.5,   0.95879, 2,    229.727, -121.5,   0.95879, 3,    229.727,  118.5,   0.95879
"PISGALBUS23", 0.415, 1,    229.905,   -1.3,   0.95954, 2,    229.905, -121.3,   0.95954, 3,    229.905,  118.7,   0.95954
