Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"RPRS_SCHOOLBUS1", 0.415, 1,    237.695,  -30.2,   0.99205, 2,    237.695, -150.2,   0.99205, 3,    237.695,   89.8,   0.99205
"TOLULEMBUS1", 0.415, 1,    238.121,  -30.1,   0.99382, 2,    238.121, -150.1,   0.99382, 3,    238.121,   89.9,   0.99382
"KHARWADABUS1", 0.415, 1,    238.482,  -30.1,   0.99533, 2,    238.482, -150.1,   0.99533, 3,    238.482,   89.9,   0.99533
"SHANTADURGA_NEWBUS1", 0.415, 1,    235.968,  -30.6,   0.98484, 2,    235.968, -150.6,   0.98484, 3,    235.968,   89.4,   0.98484
"GALSHIREBUS1", 0.415, 1,    235.023,  -30.9,    0.9809, 2,    235.023, -150.9,    0.9809, 3,    235.023,   89.1,    0.9809
"RAJENDRA_TALAKBUS1", 0.415, 1,    237.397,  -30.1,    0.9908, 2,    237.397, -150.1,    0.9908, 3,    237.397,   89.9,    0.9908
"RITESH_DEVELOPERSBUS1", 0.415, 1,    237.329,  -30.1,   0.99052, 2,    237.329, -150.1,   0.99052, 3,    237.329,   89.9,   0.99052
"VENKATESH_LEELABUS1", 0.415, 1,    237.421,  -30.1,   0.99091, 2,    237.421, -150.1,   0.99091, 3,    237.421,   89.9,   0.99091
"PERIGOLBUS1", 0.415, 1,    235.124,  -30.9,   0.98132, 2,    235.124, -150.9,   0.98132, 3,    235.124,   89.1,   0.98132
"MANMOHAN_SINGHBUS1", 0.415, 1,    235.676,  -30.6,   0.98362, 2,    235.676, -150.6,   0.98362, 3,    235.676,   89.4,   0.98362
"DHUMREBUS1", 0.415, 1,     234.91,  -30.9,   0.98042, 2,     234.91, -150.9,   0.98042, 3,     234.91,   89.1,   0.98042
"SHASHIKALA_PAIBUS1", 0.415, 1,    237.454,  -30.1,   0.99104, 2,    237.454, -150.1,   0.99104, 3,    237.454,   89.9,   0.99104
"KAPILESHWARIBUS1", 0.415, 1,    235.641,  -30.6,   0.98348, 2,    235.641, -150.6,   0.98348, 3,    235.641,   89.4,   0.98348
"MATRUCHAYABUS1", 0.415, 1,    235.882,  -30.6,   0.98448, 2,    235.882, -150.6,   0.98448, 3,    235.882,   89.4,   0.98448
"VAMNESHWARBUS1", 0.415, 1,    235.559,  -30.7,   0.98313, 2,    235.559, -150.7,   0.98313, 3,    235.559,   89.3,   0.98313
"GOLDEN_PROPERTIESBUS1", 0.415, 1,    237.434,  -30.1,   0.99096, 2,    237.434, -150.1,   0.99096, 3,    237.434,   89.9,   0.99096
"RITESHBUS1", 0.415, 1,    237.434,  -30.1,   0.99096, 2,    237.434, -150.1,   0.99096, 3,    237.434,   89.9,   0.99096
"SNEHMANDIR_LV", 0.415, 1,    235.737,  -30.6,   0.98387, 2,    235.737, -150.6,   0.98387, 3,    235.737,   89.4,   0.98387
"RAINGUINIM_LV", 0.415, 1,    236.931,  -30.6,   0.98886, 2,    236.931, -150.6,   0.98886, 3,    236.931,   89.4,   0.98886
"BANDORAP_LV", 0.415, 1,    236.879,  -30.6,   0.98864, 2,    236.879, -150.6,   0.98864, 3,    236.879,   89.4,   0.98864
"KASHIMATHG_LV", 0.415, 1,    238.737,  -30.1,    0.9964, 2,    238.737, -150.1,    0.9964, 3,    238.737,   89.9,    0.9964
"NAGESHIT_LV", 0.415, 1,    237.078,  -30.6,   0.98947, 2,    237.078, -150.6,   0.98947, 3,    237.078,   89.4,   0.98947
"DHONSHI_LV", 0.415, 1,    236.573,  -30.7,   0.98737, 2,    236.573, -150.7,   0.98737, 3,    236.573,   89.3,   0.98737
"AGRASHALA_LV", 0.415, 1,    237.337,  -30.5,   0.99055, 2,    237.337, -150.5,   0.99055, 3,    237.337,   89.5,   0.99055
"HINDUJAN_LV", 0.415, 1,    236.613,  -30.7,   0.98753, 2,    236.613, -150.7,   0.98753, 3,    236.613,   89.3,   0.98753
"VAGDOR_LV", 0.415, 1,    238.786,  -30.1,    0.9966, 2,    238.786, -150.1,    0.9966, 3,    238.786,   89.9,    0.9966
"MAHALAXMI_LV", 0.415, 1,    236.344,  -30.8,   0.98641, 2,    236.344, -150.8,   0.98641, 3,    236.344,   89.2,   0.98641
"PEARL_LV", 0.415, 1,     237.33,  -30.5,   0.99052, 2,     237.33, -150.5,   0.99052, 3,     237.33,   89.5,   0.99052
"KUNAL_LV", 0.415, 1,    237.186,  -30.6,   0.98992, 2,    237.186, -150.6,   0.98992, 3,    237.186,   89.4,   0.98992
"SHAMRAO_LV", 0.415, 1,    238.512,  -30.2,   0.99546, 2,    238.512, -150.2,   0.99546, 3,    238.512,   89.8,   0.99546
"MOGRU_LV", 0.415, 1,    239.047,  -30.1,   0.99769, 2,    239.047, -150.1,   0.99769, 3,    239.047,   89.9,   0.99769
"KONARGAUNEM_LV", 0.415, 1,    237.595,  -30.5,   0.99163, 2,    237.595, -150.5,   0.99163, 3,    237.595,   89.5,   0.99163
