Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"2W_RAVINAGAR", 11, 1,    6232.74,   -0.2,    0.9814, 2,    6232.74, -120.2,    0.9814, 3,    6232.74,  119.8,    0.9814
"PUROHIT", 11, 1,    6245.07,   -0.2,   0.98334, 2,    6245.07, -120.2,   0.98334, 3,    6245.07,  119.8,   0.98334
"RANI_CONSTRUCTION", 11, 1,    6242.66,   -0.2,   0.98296, 2,    6242.66, -120.2,   0.98296, 3,    6242.66,  119.8,   0.98296
"KEDAR", 11, 1,    6240.55,   -0.2,   0.98263, 2,    6240.55, -120.2,   0.98263, 3,    6240.55,  119.8,   0.98263
"DESSAI_SANTOBA", 11, 1,     6240.3,   -0.2,   0.98259, 2,     6240.3, -120.2,   0.98259, 3,     6240.3,  119.8,   0.98259
"MAHARUDRA", 11, 1,     6240.1,   -0.2,   0.98256, 2,     6240.1, -120.2,   0.98256, 3,     6240.1,  119.8,   0.98256
"2W_PERIGOL", 11, 1,     6240.1,   -0.2,   0.98256, 2,     6240.1, -120.2,   0.98256, 3,     6240.1,  119.8,   0.98256
"FRIENDS_COLONY", 11, 1,     6227.6,   -0.2,   0.98059, 2,     6227.6, -120.2,   0.98059, 3,     6227.6,  119.8,   0.98059
"KHADPABANDH_GARDEN_II", 11, 1,    6226.16,   -0.2,   0.98037, 2,    6226.16, -120.2,   0.98037, 3,    6226.16,  119.8,   0.98037
"3W_FOUR_POLE", 11, 1,    6224.68,   -0.2,   0.98013, 2,    6224.68, -120.2,   0.98013, 3,    6224.68,  119.8,   0.98013
"4W_DURBHAT", 11, 1,    6224.68,   -0.2,   0.98013, 2,    6224.68, -120.2,   0.98013, 3,    6224.68,  119.8,   0.98013
"KHADPABANDH_GARDEN_I", 11, 1,    6222.84,   -0.2,   0.97984, 2,    6222.84, -120.2,   0.97984, 3,    6222.84,  119.8,   0.97984
"SEWERAGE_HTC", 11, 1,     6221.6,   -0.2,   0.97965, 2,     6221.6, -120.2,   0.97965, 3,     6221.6,  119.8,   0.97965
"3W_DAAG", 11, 1,    6220.55,   -0.2,   0.97948, 2,    6220.55, -120.2,   0.97948, 3,    6220.55,  119.8,   0.97948
"3W_PONDA_1", 11, 1,    6220.55,   -0.2,   0.97948, 2,    6220.55, -120.2,   0.97948, 3,    6220.55,  119.8,   0.97948
"3W_BHAGWATI", 11, 1,    6220.55,   -0.2,   0.97948, 2,    6220.55, -120.2,   0.97948, 3,    6220.55,  119.8,   0.97948
"BHAGWATI_II", 11, 1,    6220.11,   -0.2,   0.97941, 2,    6220.11, -120.2,   0.97941, 3,    6220.11,  119.8,   0.97941
"BHAGWATI_I", 11, 1,    6219.57,   -0.2,   0.97933, 2,    6219.57, -120.2,   0.97933, 3,    6219.57,  119.8,   0.97933
"2W_SATYANARAYAN_TEMPLE", 11, 1,    6219.57,   -0.2,   0.97933, 2,    6219.57, -120.2,   0.97933, 3,    6219.57,  119.8,   0.97933
"COLONYBUS", 0.415, 1,    231.801,   -1.1,   0.96745, 2,    231.801, -121.1,   0.96745, 3,    231.801,  118.9,   0.96745
"LOTLIKAR_NAGA_MASJIDBUS", 0.415, 1,    228.799,   -1.5,   0.95492, 2,    228.799, -121.5,   0.95492, 3,    228.799,  118.5,   0.95492
"USMANIABUS", 0.415, 1,    228.493,   -1.5,   0.95364, 2,    228.493, -121.5,   0.95364, 3,    228.493,  118.5,   0.95364
"VARKHANDEBUS", 0.415, 1,    228.821,   -1.3,   0.95501, 2,    228.821, -121.3,   0.95501, 3,    228.821,  118.7,   0.95501
"VRUDHAVAN_GARDENBUS", 0.415, 1,    229.918,   -1.2,   0.95959, 2,    229.918, -121.2,   0.95959, 3,    229.918,  118.8,   0.95959
"NAGAMASJID_NEW", 11, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"NAGAMASJID_NEWBUS", 11, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"ANGARKIBUS", 0.415, 1,    227.402,   -1.5,   0.94909, 2,    227.402, -121.5,   0.94909, 3,    227.402,  118.5,   0.94909
"GANGANATHBUS", 0.415, 1,    227.516,   -1.5,   0.94956, 2,    227.516, -121.5,   0.94956, 3,    227.516,  118.5,   0.94956
"HERITAGE_IBUS", 0.415, 1,    236.604,   -0.2,    0.9875, 2,    236.604, -120.2,    0.9875, 3,    236.604,  119.8,    0.9875
"HERITAGE_IIBUS", 0.415, 1,    236.606,   -0.2,    0.9875, 2,    236.606, -120.2,    0.9875, 3,    236.606,  119.8,    0.9875
"ALMEDABUS", 0.415, 1,    227.394,   -1.5,   0.94906, 2,    227.394, -121.5,   0.94906, 3,    227.394,  118.5,   0.94906
